1,0.138,0.1186,1.4875,0.044,0.1353,0.0527,0.3018,1.2223,1.9777,1.0408
1,1.0855,0.2165,2.8018,0.041,0.2937,2.9643,0.0073,0.0433,3.1567,1.0408
2,0.1289,0.1175,0.0278,0.4264,0.0334,0.0099,0.3477,3.1616,0.0384,2.4412
3,0.1289,0.1175,0.037,0.4168,0.0334,0.0099,0.3477,3.1334,0.0666,1.9185
3,0.1302,0.1176,0.6777,0.0587,0.0574,0.0178,0.3398,1.3587,1.8413,1.9185
3,1.0496,0.2138,1.4592,0.0437,0.132,1.2842,0.0138,0.1948,3.0052,1.9185
4,0.1361,0.1184,1.3769,0.0447,0.1227,0.0454,0.3098,1.2315,1.9685,1.1142
4,1.0845,0.2164,2.6124,0.0411,0.2719,2.7409,0.0075,0.0503,3.1497,1.1142
5,0.1289,0.1175,0.0283,0.426,0.0334,0.0099,0.3477,3.1604,0.0396,2.4074
5,0.9193,0.2033,1.0655,0.0472,0.0899,0.7541,0.0282,0.4345,2.7655,2.4074
6,0.1289,0.1175,0.0374,0.4164,0.0334,0.0099,0.3477,3.1321,0.0679,1.9029
6,0.1303,0.1176,0.6874,0.0582,0.0581,0.018,0.3396,1.3546,1.8454,1.9029
6,1.0511,0.2139,1.473,0.0436,0.1336,1.3017,0.0136,0.1905,3.0095,1.9029
7,0.1289,0.1175,0.028,0.4262,0.0334,0.0099,0.3477,3.161,0.039,2.4232
7,0.8873,0.2006,1.0398,0.0476,0.0874,0.7047,0.0312,0.4732,2.7268,2.4232
8,0.1289,0.1175,0.0281,0.4262,0.0334,0.0099,0.3477,3.1609,0.0391,2.4224
9,0.1289,0.1175,0.0287,0.4256,0.0334,0.0099,0.3477,3.1591,0.0409,2.3726
9,0.9485,0.2058,1.0997,0.0467,0.0932,0.8102,0.0254,0.395,2.805,2.3726
10,0.1289,0.1175,0.0419,0.4109,0.0334,0.0099,0.3477,3.1156,0.0844,1.7425
10,0.1308,0.1177,0.7895,0.0539,0.0656,0.0207,0.3368,1.3186,1.8814,1.7425
10,1.0633,0.2148,1.6271,0.0429,0.1518,1.4976,0.0117,0.1501,3.0499,1.7425
11,0.1289,0.1175,0.0429,0.4095,0.0334,0.0099,0.3477,3.1116,0.0884,1.7111
11,0.1309,0.1177,0.8105,0.0532,0.0673,0.0213,0.3362,1.3126,1.8874,1.7111
11,1.0652,0.215,1.6601,0.0428,0.1558,1.5398,0.0114,0.1431,3.0569,1.7111
12,0.1289,0.1175,0.0322,0.4221,0.0334,0.0099,0.3477,3.1489,0.0511,2.1485
12,0.1297,0.1176,0.5271,0.07,0.0481,0.0146,0.343,1.4507,1.7493,2.1485
13,0.1289,0.1175,0.0481,0.4025,0.0335,0.0099,0.3477,3.0902,0.1098,1.5779
13,0.1314,0.1178,0.9056,0.0507,0.0752,0.0242,0.333,1.2902,1.9098,1.5779
13,1.0719,0.2155,1.8134,0.0423,0.1744,1.7361,0.0102,0.1159,3.0841,1.5779
14,0.1289,0.1175,0.0487,0.4016,0.0335,0.0099,0.3477,3.0876,0.1124,1.5648
14,0.1315,0.1178,0.9156,0.0505,0.076,0.0245,0.3327,1.2882,1.9118,1.5648
14,1.0725,0.2155,1.8298,0.0423,0.1764,1.7571,0.0101,0.1135,3.0865,1.5648
15,0.1289,0.1175,0.0737,0.362,0.0336,0.01,0.3476,2.9604,0.2396,1.2614
15,0.1338,0.1181,1.1933,0.0462,0.1028,0.0356,0.3207,1.2486,1.9514,1.2614
15,1.0818,0.2162,2.2976,0.0414,0.2341,2.3538,0.0082,0.0668,3.1332,1.2614
16,0.1289,0.1175,0.0403,0.4128,0.0334,0.0099,0.3477,3.1214,0.0786,1.7923
16,0.1306,0.1177,0.7569,0.0551,0.0631,0.0198,0.3377,1.3286,1.8714,1.7923
16,1.06,0.2146,1.5767,0.0431,0.1458,1.4334,0.0122,0.1618,3.0382,1.7923
17,0.1289,0.1175,0.0807,0.35,0.0337,0.01,0.3476,2.9195,0.2805,1.2283
17,0.1342,0.1182,1.2309,0.0459,0.1067,0.0374,0.3187,1.2448,1.9552,1.2283
17,1.0825,0.2163,2.362,0.0414,0.2419,2.4344,0.008,0.0628,3.1372,1.2283
18,0.1289,0.1175,0.0454,0.4062,0.0334,0.0099,0.3477,3.1015,0.0985,1.6422
18,0.1311,0.1177,0.8584,0.0519,0.0712,0.0227,0.3346,1.3005,1.8995,1.6422
