1,1.0672,0.2151,1.6988,0.0436,0.1604,1.5892,0.0111,0.1354,3.0646,0.0294,3
2,1.0669,0.2151,1.6933,0.0439,0.1598,1.5822,0.0111,0.1365,3.0635,0.0292,3
3,1.0665,0.2151,1.6858,0.0443,0.1589,1.5726,0.0112,0.1379,3.0621,0.0289,3
4,1.0693,0.2153,1.7454,0.041,0.1661,1.6489,0.0107,0.127,3.073,0.0311,3
5,1.0636,0.2148,1.6314,0.0472,0.1523,1.5032,0.0117,0.1492,3.0508,0.0273,3
6,1.0719,0.2155,1.8123,0.0373,0.1743,1.7346,0.0102,0.1161,3.0839,0.034,3
7,1.0689,0.2152,1.7351,0.0416,0.1649,1.6357,0.0108,0.1288,3.0712,0.0307,3
8,1.069,0.2153,1.7392,0.0414,0.1654,1.641,0.0107,0.128,3.072,0.0309,3
9,1.0577,0.2144,1.5466,0.0518,0.1422,1.3951,0.0126,0.1695,3.0305,0.025,3
10,1.0689,0.2152,1.7351,0.0416,0.1648,1.6356,0.0108,0.1288,3.0712,0.0307,3
11,1.0709,0.2154,1.7861,0.0388,0.1711,1.7011,0.0104,0.1202,3.0798,0.0328,3
12,1.0659,0.215,1.6741,0.0449,0.1575,1.5576,0.0113,0.1403,3.0597,0.0286,3
13,1.0717,0.2155,1.8083,0.0375,0.1738,1.7296,0.0102,0.1167,3.0833,0.0339,3
14,1.0696,0.2153,1.7514,0.0407,0.1668,1.6566,0.0106,0.1259,3.0741,0.0313,3
15,1.073,0.2156,1.845,0.0355,0.1783,1.7767,0.01,0.1113,3.0887,0.0358,3
16,1.0708,0.2154,1.7824,0.039,0.1706,1.6963,0.0104,0.1208,3.0792,0.0326,3
17,1.0718,0.2155,1.811,0.0374,0.1741,1.733,0.0102,0.1163,3.0837,0.034,3
18,1.0664,0.2151,1.683,0.0444,0.1585,1.569,0.0112,0.1385,3.0615,0.0289,3
19,1.0618,0.2147,1.6034,0.0488,0.149,1.4674,0.012,0.1555,3.0445,0.0265,3
20,1.0724,0.2155,1.8286,0.0364,0.1763,1.7557,0.0101,0.1137,3.0863,0.0349,3
21,1.0675,0.2151,1.7056,0.0432,0.1613,1.5979,0.011,0.1341,3.0659,0.0296,3
22,1.0623,0.2148,1.6117,0.0483,0.15,1.4779,0.0119,0.1536,3.0464,0.0267,3
23,1.0653,0.215,1.6611,0.0456,0.1559,1.541,0.0114,0.1429,3.0571,0.0282,3
24,1.0645,0.2149,1.6471,0.0464,0.1542,1.5231,0.0115,0.1458,3.0542,0.0277,3
25,1.063,0.2148,1.622,0.0477,0.1512,1.4911,0.0118,0.1512,3.0488,0.027,3
26,1.0569,0.2143,1.5362,0.0524,0.141,1.3819,0.0127,0.1722,3.0278,0.0248,3
28,1.0662,0.215,1.6782,0.0447,0.158,1.5628,0.0112,0.1394,3.0606,0.0287,3
29,1.0704,0.2154,1.7711,0.0396,0.1692,1.6818,0.0105,0.1226,3.0774,0.0322,3
30,1.0631,0.2148,1.6243,0.0476,0.1515,1.494,0.0117,0.1507,3.0493,0.0271,3
31,1.0714,0.2154,1.7986,0.0381,0.1726,1.7171,0.0103,0.1182,3.0818,0.0334,3
33,1.0654,0.215,1.6634,0.0455,0.1562,1.5439,0.0114,0.1424,3.0576,0.0282,3
34,1.0699,0.2153,1.7601,0.0402,0.1679,1.6677,0.0106,0.1245,3.0755,0.0317,3
35,1.0728,0.2155,1.839,0.0358,0.1776,1.769,0.01,0.1122,3.0878,0.0354,3
36,1.0648,0.2149,1.6524,0.0461,0.1548,1.5299,0.0115,0.1447,3.0553,0.0279,3
38,1.0701,0.2153,1.7641,0.04,0.1684,1.6728,0.0105,0.1238,3.0762,0.0319,3
39,1.0715,0.2154,1.8001,0.038,0.1728,1.719,0.0103,0.118,3.082,0.0335,3
40,1.0666,0.2151,1.6869,0.0442,0.159,1.5739,0.0112,0.1377,3.0623,0.029,3
41,1.0634,0.2148,1.6285,0.0474,0.152,1.4994,0.0117,0.1498,3.0502,0.0272,3
42,1.0691,0.2153,1.7403,0.0413,0.1655,1.6424,0.0107,0.1279,3.0721,0.0309,3
43,1.0643,0.2149,1.6432,0.0466,0.1537,1.5181,0.0116,0.1466,3.0534,0.0276,3
44,1.0658,0.215,1.6714,0.0451,0.1571,1.5542,0.0113,0.1408,3.0592,0.0285,3
45,1.0601,0.2146,1.5784,0.0501,0.146,1.4356,0.0122,0.1614,3.0386,0.0258,3
46,1.0695,0.2153,1.7499,0.0408,0.1667,1.6546,0.0106,0.1262,3.0738,0.0313,3
47,1.0674,0.2151,1.7028,0.0434,0.1609,1.5944,0.011,0.1347,3.0653,0.0295,3
48,1.0715,0.2154,1.8008,0.038,0.1729,1.72,0.0103,0.1179,3.0821,0.0335,3
49,1.0674,0.2151,1.703,0.0434,0.161,1.5946,0.011,0.1346,3.0654,0.0295,3
50,1.0633,0.2148,1.6265,0.0475,0.1517,1.4969,0.0117,0.1502,3.0498,0.0271,3
51,1.0647,0.2149,1.6516,0.0461,0.1548,1.5289,0.0115,0.1448,3.0552,0.0279,3
52,1.0683,0.2152,1.7225,0.0423,0.1633,1.6195,0.0109,0.131,3.069,0.0302,3
53,1.0715,0.2154,1.8004,0.038,0.1728,1.7194,0.0103,0.118,3.082,0.0335,3
54,1.0663,0.2151,1.6806,0.0446,0.1582,1.566,0.0112,0.1389,3.0611,0.0288,3
55,1.071,0.2154,1.7875,0.0387,0.1712,1.7029,0.0104,0.12,3.08,0.0329,3
56,1.0686,0.2152,1.73,0.0419,0.1642,1.6291,0.0108,0.1297,3.0703,0.0305,3
57,1.0551,0.2142,1.5155,0.0535,0.1386,1.3557,0.013,0.1779,3.0221,0.0243,3
58,1.0684,0.2152,1.7252,0.0421,0.1636,1.623,0.0108,0.1305,3.0695,0.0303,3
59,1.0674,0.2151,1.7034,0.0433,0.161,1.595,0.011,0.1346,3.0654,0.0295,3
60,1.0691,0.2153,1.7403,0.0413,0.1655,1.6423,0.0107,0.1279,3.0721,0.0309,3
61,1.072,0.2155,1.8156,0.0371,0.1747,1.7389,0.0102,0.1156,3.0844,0.0342,3
62,1.0693,0.2153,1.7457,0.041,0.1661,1.6492,0.0107,0.1269,3.0731,0.0311,3
63,1.0692,0.2153,1.7425,0.0412,0.1658,1.6452,0.0107,0.1275,3.0725,0.031,3
64,1.0633,0.2148,1.6278,0.0474,0.1519,1.4984,0.0117,0.15,3.05,0.0272,3
65,1.0675,0.2151,1.7058,0.0432,0.1613,1.5982,0.011,0.1341,3.0659,0.0296,3
66,1.0616,0.2147,1.6004,0.0489,0.1486,1.4636,0.012,0.1562,3.0438,0.0264,3
67,1.0694,0.2153,1.7485,0.0409,0.1665,1.6528,0.0107,0.1264,3.0736,0.0312,3
68,1.0614,0.2147,1.5969,0.0491,0.1482,1.4591,0.012,0.157,3.043,0.0263,3
69,1.0638,0.2149,1.6354,0.047,0.1528,1.5082,0.0116,0.1483,3.0517,0.0274,3
70,1.0627,0.2148,1.618,0.048,0.1507,1.486,0.0118,0.1521,3.0479,0.0269,3
71,1.0625,0.2148,1.6135,0.0482,0.1502,1.4803,0.0118,0.1531,3.0469,0.0268,3
72,1.0667,0.2151,1.6881,0.0442,0.1592,1.5756,0.0111,0.1375,3.0625,0.029,3
73,1.0692,0.2153,1.7418,0.0412,0.1657,1.6442,0.0107,0.1276,3.0724,0.031,3
74,1.0689,0.2152,1.735,0.0416,0.1648,1.6355,0.0108,0.1288,3.0712,0.0307,3
75,1.0705,0.2154,1.7755,0.0394,0.1698,1.6875,0.0105,0.1219,3.0781,0.0323,3
76,1.0694,0.2153,1.7464,0.041,0.1662,1.6502,0.0107,0.1268,3.0732,0.0311,3
77,1.0644,0.2149,1.6466,0.0464,0.1541,1.5225,0.0115,0.1459,3.0541,0.0277,3
78,1.0679,0.2152,1.7137,0.0428,0.1623,1.6083,0.0109,0.1326,3.0674,0.0299,3
79,1.0706,0.2154,1.7763,0.0393,0.1699,1.6885,0.0104,0.1218,3.0782,0.0324,3
80,1.0694,0.2153,1.7472,0.0409,0.1663,1.6512,0.0107,0.1267,3.0733,0.0312,3
81,1.0682,0.2152,1.7197,0.0424,0.163,1.6159,0.0109,0.1315,3.0685,0.0301,3
82,1.0567,0.2143,1.5335,0.0525,0.1407,1.3785,0.0128,0.173,3.027,0.0247,3
83,1.0691,0.2153,1.7402,0.0413,0.1655,1.6422,0.0107,0.1279,3.0721,0.0309,3
84,1.0667,0.2151,1.6882,0.0442,0.1592,1.5756,0.0111,0.1375,3.0625,0.029,3
85,1.0704,0.2154,1.7721,0.0396,0.1694,1.6831,0.0105,0.1225,3.0775,0.0322,3
86,1.0663,0.2151,1.681,0.0446,0.1583,1.5664,0.0112,0.1389,3.0611,0.0288,3
87,1.0689,0.2152,1.7353,0.0416,0.1649,1.636,0.0108,0.1287,3.0713,0.0307,3
88,1.0701,0.2153,1.7648,0.04,0.1685,1.6738,0.0105,0.1237,3.0763,0.0319,3
89,1.0681,0.2152,1.7172,0.0426,0.1627,1.6127,0.0109,0.132,3.068,0.03,3
90,1.0718,0.2155,1.811,0.0374,0.1741,1.733,0.0102,0.1163,3.0837,0.034,3
91,1.0565,0.2143,1.5313,0.0527,0.1404,1.3757,0.0128,0.1736,3.0264,0.0247,3
92,1.0628,0.2148,1.6184,0.0479,0.1508,1.4865,0.0118,0.152,3.048,0.0269,3
93,1.0713,0.2154,1.7968,0.0382,0.1724,1.7148,0.0103,0.1185,3.0815,0.0333,3
94,1.0659,0.215,1.673,0.045,0.1573,1.5562,0.0113,0.1405,3.0595,0.0285,3
95,1.0693,0.2153,1.7456,0.041,0.1661,1.6491,0.0107,0.1269,3.0731,0.0311,3
96,1.0628,0.2148,1.6191,0.0479,0.1508,1.4874,0.0118,0.1519,3.0481,0.0269,3
97,1.0705,0.2154,1.7735,0.0395,0.1695,1.6849,0.0105,0.1222,3.0778,0.0323,3
98,1.0705,0.2154,1.7759,0.0394,0.1698,1.688,0.0105,0.1218,3.0782,0.0324,3
99,1.0698,0.2153,1.758,0.0403,0.1676,1.665,0.0106,0.1248,3.0752,0.0316,3
100,1.0637,0.2149,1.6331,0.0471,0.1525,1.5053,0.0117,0.1488,3.0512,0.0273,3
101,1.0666,0.2151,1.6859,0.0443,0.1589,1.5727,0.0112,0.1379,3.0621,0.0289,3
102,1.0617,0.2147,1.6011,0.0489,0.1487,1.4644,0.012,0.156,3.044,0.0264,3
103,1.0632,0.2148,1.6257,0.0475,0.1516,1.4958,0.0117,0.1504,3.0496,0.0271,3
104,1.0703,0.2154,1.7708,0.0396,0.1692,1.6814,0.0105,0.1227,3.0773,0.0321,3
106,1.0698,0.2153,1.757,0.0404,0.1675,1.6638,0.0106,0.125,3.075,0.0316,3
107,1.0702,0.2153,1.7673,0.0398,0.1688,1.677,0.0105,0.1233,3.0767,0.032,3
108,1.0634,0.2148,1.6288,0.0474,0.152,1.4997,0.0117,0.1497,3.0503,0.0272,3
109,1.0642,0.2149,1.6427,0.0466,0.1537,1.5176,0.0116,0.1467,3.0533,0.0276,3
110,1.0706,0.2154,1.7769,0.0393,0.17,1.6893,0.0104,0.1217,3.0783,0.0324,3
111,1.0705,0.2154,1.7751,0.0394,0.1697,1.6869,0.0105,0.122,3.078,0.0323,3
113,1.0712,0.2154,1.7932,0.0384,0.1719,1.7102,0.0103,0.1191,3.0809,0.0331,3
114,1.0597,0.2146,1.5727,0.0504,0.1453,1.4283,0.0123,0.1628,3.0372,0.0257,3
116,1.0728,0.2155,1.8389,0.0358,0.1775,1.7688,0.01,0.1122,3.0878,0.0354,3
117,1.0683,0.2152,1.7228,0.0423,0.1634,1.6199,0.0109,0.131,3.069,0.0302,3
118,1.0695,0.2153,1.751,0.0407,0.1668,1.656,0.0106,0.126,3.074,0.0313,3
119,1.0682,0.2152,1.7202,0.0424,0.163,1.6166,0.0109,0.1314,3.0686,0.0301,3
120,1.0705,0.2154,1.7759,0.0394,0.1698,1.688,0.0105,0.1218,3.0782,0.0324,3
121,1.0659,0.215,1.6739,0.0449,0.1574,1.5573,0.0113,0.1403,3.0597,0.0286,3
122,1.0718,0.2155,1.8088,0.0375,0.1739,1.7302,0.0102,0.1166,3.0834,0.0339,3
123,1.0709,0.2154,1.784,0.0389,0.1708,1.6984,0.0104,0.1205,3.0795,0.0327,3
124,1.0713,0.2154,1.7967,0.0382,0.1724,1.7146,0.0103,0.1185,3.0815,0.0333,3
125,1.0621,0.2147,1.6082,0.0485,0.1495,1.4735,0.0119,0.1544,3.0456,0.0266,3
126,1.0701,0.2153,1.7658,0.0399,0.1686,1.675,0.0105,0.1235,3.0765,0.0319,3
127,1.0699,0.2153,1.7593,0.0403,0.1678,1.6667,0.0106,0.1246,3.0754,0.0317,3
128,1.0699,0.2153,1.7587,0.0403,0.1677,1.6659,0.0106,0.1247,3.0753,0.0316,3
129,1.0708,0.2154,1.7818,0.039,0.1705,1.6955,0.0104,0.1209,3.0791,0.0326,3
130,1.0671,0.2151,1.6976,0.0437,0.1603,1.5876,0.0111,0.1357,3.0643,0.0293,3
131,1.067,0.2151,1.6939,0.0439,0.1598,1.5829,0.0111,0.1364,3.0636,0.0292,3
132,1.0635,0.2148,1.6299,0.0473,0.1521,1.5012,0.0117,0.1495,3.0505,0.0272,3
133,1.0681,0.2152,1.717,0.0426,0.1626,1.6125,0.0109,0.132,3.068,0.03,3
134,1.0716,0.2155,1.8037,0.0378,0.1732,1.7236,0.0103,0.1174,3.0826,0.0336,3
136,1.0687,0.2152,1.7317,0.0418,0.1644,1.6313,0.0108,0.1294,3.0706,0.0306,3
137,1.0707,0.2154,1.7788,0.0392,0.1702,1.6917,0.0104,0.1214,3.0786,0.0325,3
138,1.0599,0.2146,1.5757,0.0503,0.1457,1.4321,0.0123,0.1621,3.0379,0.0258,3
139,1.0628,0.2148,1.6188,0.0479,0.1508,1.4871,0.0118,0.152,3.048,0.0269,3
140,1.07,0.2153,1.761,0.0402,0.168,1.6689,0.0106,0.1243,3.0757,0.0317,3
141,1.0707,0.2154,1.7795,0.0392,0.1703,1.6926,0.0104,0.1213,3.0787,0.0325,3
142,1.0718,0.2155,1.8103,0.0374,0.174,1.7322,0.0102,0.1164,3.0836,0.0339,3
143,1.0625,0.2148,1.6145,0.0482,0.1503,1.4815,0.0118,0.1529,3.0471,0.0268,3
144,1.0714,0.2154,1.7981,0.0381,0.1725,1.7165,0.0103,0.1183,3.0817,0.0334,3
146,1.0694,0.2153,1.7479,0.0409,0.1664,1.6521,0.0107,0.1265,3.0735,0.0312,3
147,1.068,0.2152,1.7153,0.0427,0.1625,1.6104,0.0109,0.1323,3.0677,0.03,3
148,1.0698,0.2153,1.7582,0.0403,0.1677,1.6653,0.0106,0.1248,3.0752,0.0316,3
149,1.069,0.2153,1.7392,0.0414,0.1653,1.6409,0.0107,0.1281,3.0719,0.0309,3
150,1.0666,0.2151,1.687,0.0442,0.159,1.5741,0.0112,0.1377,3.0623,0.029,3
151,1.0689,0.2153,1.7367,0.0415,0.165,1.6377,0.0107,0.1285,3.0715,0.0308,3
152,1.0686,0.2152,1.7291,0.0419,0.1641,1.628,0.0108,0.1298,3.0702,0.0305,3
153,1.069,0.2153,1.7381,0.0414,0.1652,1.6395,0.0107,0.1283,3.0717,0.0308,3
154,1.0697,0.2153,1.7553,0.0405,0.1673,1.6615,0.0106,0.1253,3.0747,0.0315,3
155,1.0672,0.2151,1.6985,0.0436,0.1604,1.5888,0.0111,0.1355,3.0645,0.0294,3
156,1.0691,0.2153,1.74,0.0413,0.1654,1.642,0.0107,0.1279,3.0721,0.0309,3
157,1.0698,0.2153,1.7576,0.0404,0.1676,1.6645,0.0106,0.1249,3.0751,0.0316,3
158,1.0588,0.2145,1.5606,0.0511,0.1439,1.413,0.0124,0.1659,3.0341,0.0254,3
159,1.0667,0.2151,1.6882,0.0442,0.1592,1.5757,0.0111,0.1375,3.0625,0.029,3
160,1.0706,0.2154,1.7777,0.0393,0.17,1.6903,0.0104,0.1216,3.0784,0.0324,3
161,1.0662,0.215,1.6798,0.0446,0.1581,1.5649,0.0112,0.1391,3.0609,0.0287,3
162,1.0607,0.2146,1.5866,0.0497,0.147,1.446,0.0121,0.1594,3.0406,0.026,3
163,1.0697,0.2153,1.7557,0.0405,0.1674,1.6621,0.0106,0.1252,3.0748,0.0315,3
164,1.069,0.2153,1.7374,0.0415,0.1651,1.6387,0.0107,0.1284,3.0716,0.0308,3
165,1.0711,0.2154,1.7918,0.0385,0.1718,1.7084,0.0103,0.1193,3.0807,0.0331,3
166,1.0693,0.2153,1.7461,0.041,0.1662,1.6497,0.0107,0.1269,3.0731,0.0311,3
167,1.0704,0.2154,1.7709,0.0396,0.1692,1.6816,0.0105,0.1227,3.0773,0.0321,3
168,1.0646,0.2149,1.6497,0.0463,0.1545,1.5264,0.0115,0.1453,3.0547,0.0278,3
169,1.0706,0.2154,1.7782,0.0392,0.1701,1.691,0.0104,0.1215,3.0785,0.0325,3
170,1.0723,0.2155,1.8252,0.0366,0.1759,1.7513,0.0101,0.1142,3.0858,0.0347,3
171,1.0679,0.2152,1.7132,0.0428,0.1622,1.6076,0.0109,0.1327,3.0673,0.0299,3
172,1.0669,0.2151,1.6934,0.0439,0.1598,1.5823,0.0111,0.1365,3.0635,0.0292,3
173,1.0683,0.2152,1.7228,0.0423,0.1634,1.6199,0.0109,0.131,3.069,0.0302,3
174,1.0686,0.2152,1.7299,0.0419,0.1642,1.6291,0.0108,0.1297,3.0703,0.0305,3
175,1.0705,0.2154,1.7739,0.0395,0.1696,1.6854,0.0105,0.1222,3.0778,0.0323,3
176,1.0707,0.2154,1.7787,0.0392,0.1702,1.6915,0.0104,0.1214,3.0786,0.0325,3
177,1.0661,0.215,1.677,0.0448,0.1578,1.5613,0.0112,0.1397,3.0603,0.0287,3
178,1.0711,0.2154,1.7897,0.0386,0.1715,1.7057,0.0104,0.1196,3.0804,0.033,3
180,1.0668,0.2151,1.6901,0.0441,0.1594,1.578,0.0111,0.1371,3.0629,0.0291,3
181,1.068,0.2152,1.715,0.0427,0.1624,1.61,0.0109,0.1324,3.0676,0.03,3
182,1.0698,0.2153,1.7567,0.0404,0.1675,1.6634,0.0106,0.125,3.075,0.0316,3
183,1.0707,0.2154,1.7802,0.0391,0.1704,1.6935,0.0104,0.1212,3.0788,0.0325,3
184,1.0695,0.2153,1.7504,0.0408,0.1667,1.6553,0.0106,0.1261,3.0739,0.0313,3
185,1.0685,0.2152,1.7278,0.042,0.164,1.6264,0.0108,0.1301,3.0699,0.0304,3
186,1.0699,0.2153,1.7608,0.0402,0.168,1.6686,0.0106,0.1244,3.0756,0.0317,3
187,1.0683,0.2152,1.7223,0.0423,0.1633,1.6193,0.0109,0.1311,3.0689,0.0302,3
188,1.072,0.2155,1.8166,0.0371,0.1748,1.7403,0.0102,0.1155,3.0845,0.0343,3
189,1.0706,0.2154,1.7763,0.0393,0.1699,1.6885,0.0104,0.1218,3.0782,0.0324,3
190,1.0712,0.2154,1.792,0.0385,0.1718,1.7086,0.0103,0.1193,3.0807,0.0331,3
191,1.0659,0.215,1.6734,0.045,0.1574,1.5567,0.0113,0.1404,3.0596,0.0285,3
192,1.0714,0.2154,1.7978,0.0381,0.1725,1.7161,0.0103,0.1183,3.0817,0.0334,3
193,1.0701,0.2153,1.7655,0.0399,0.1686,1.6746,0.0105,0.1236,3.0764,0.0319,3
194,1.066,0.215,1.6753,0.0449,0.1576,1.5591,0.0113,0.14,3.06,0.0286,3
195,1.0635,0.2148,1.6303,0.0473,0.1522,1.5016,0.0117,0.1494,3.0506,0.0272,3
196,1.0615,0.2147,1.5979,0.049,0.1483,1.4604,0.012,0.1567,3.0433,0.0263,3
197,1.0723,0.2155,1.8247,0.0366,0.1758,1.7506,0.0101,0.1142,3.0858,0.0347,3
198,1.0668,0.2151,1.691,0.044,0.1595,1.5792,0.0111,0.1369,3.0631,0.0291,3
199,1.067,0.2151,1.6957,0.0438,0.1601,1.5853,0.0111,0.136,3.064,0.0293,3
200,1.0682,0.2152,1.7212,0.0424,0.1632,1.6178,0.0109,0.1313,3.0687,0.0302,3
201,1.0678,0.2152,1.7111,0.0429,0.1619,1.6049,0.0109,0.1331,3.0669,0.0298,3
202,1.0658,0.215,1.6704,0.0451,0.157,1.5529,0.0113,0.141,3.059,0.0284,3
203,1.0669,0.2151,1.6936,0.0439,0.1598,1.5826,0.0111,0.1364,3.0636,0.0292,3
204,1.0703,0.2154,1.7704,0.0397,0.1692,1.681,0.0105,0.1227,3.0773,0.0321,3
205,1.063,0.2148,1.6219,0.0478,0.1512,1.491,0.0118,0.1513,3.0487,0.027,3
206,1.0604,0.2146,1.5826,0.0499,0.1465,1.4409,0.0122,0.1604,3.0396,0.0259,3
207,1.0688,0.2152,1.7327,0.0417,0.1646,1.6326,0.0108,0.1292,3.0708,0.0306,3
208,1.0686,0.2152,1.7282,0.042,0.164,1.6268,0.0108,0.13,3.07,0.0304,3
209,1.0687,0.2152,1.7322,0.0418,0.1645,1.6319,0.0108,0.1293,3.0707,0.0306,3
