1,0.1289,0.1175,0.0447,0.4071,0.0324,0.0096,0.3478,3.1043,0.0957,0.093
1,0.131,0.1177,0.8457,0.0522,0.0678,0.0216,0.3353,1.3037,1.8963,0.093
1,1.0658,0.215,1.7144,0.0427,0.1571,1.5537,0.0113,0.1395,3.0605,0.093
2,0.1289,0.1175,0.0447,0.4071,0.033,0.0098,0.3477,3.1043,0.0957,0.0911
2,0.1311,0.1177,0.8457,0.0522,0.0693,0.022,0.3352,1.3036,1.8964,0.0911
3,0.1289,0.1175,0.0447,0.4071,0.0329,0.0097,0.3477,3.1043,0.0957,0.0915
3,0.131,0.1177,0.8457,0.0522,0.069,0.0219,0.3352,1.3036,1.8964,0.0915
3,1.0669,0.2151,1.7154,0.0426,0.1598,1.5825,0.0111,0.1357,3.0643,0.0915
4,0.129,0.1175,0.0448,0.4069,0.0404,0.012,0.3473,3.1039,0.0961,0.0745
4,0.1314,0.1178,0.8462,0.0522,0.0848,0.0273,0.3331,1.3023,1.8977,0.0745
4,1.0771,0.2159,1.7251,0.0424,0.1977,1.9788,0.0092,0.0985,3.1015,0.0745
5,0.1289,0.1175,0.0447,0.4072,0.0313,0.0093,0.3478,3.1044,0.0956,0.0961
5,0.131,0.1177,0.8456,0.0522,0.0657,0.0208,0.3356,1.3039,1.8961,0.0961
6,0.1289,0.1175,0.0447,0.407,0.0365,0.0108,0.3475,3.1041,0.0959,0.0824
6,0.1312,0.1178,0.8459,0.0522,0.0766,0.0245,0.3342,1.303,1.897,0.0824
6,1.0729,0.2156,1.7207,0.0425,0.178,1.7739,0.01,0.115,3.085,0.0824
7,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.1043,0.0957,0.09
7,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.3035,1.8965,0.09
7,1.068,0.2152,1.7163,0.0426,0.1626,1.6117,0.0109,0.1321,3.0679,0.09
8,0.1289,0.1175,0.0447,0.4071,0.0329,0.0097,0.3477,3.1043,0.0957,0.0914
8,0.131,0.1177,0.8457,0.0522,0.069,0.022,0.3352,1.3036,1.8964,0.0914
8,1.067,0.2151,1.7154,0.0426,0.16,1.5842,0.0111,0.1355,3.0645,0.0914
9,0.1289,0.1175,0.0447,0.4071,0.0319,0.0094,0.3478,3.1044,0.0956,0.0943
9,0.131,0.1177,0.8457,0.0522,0.0669,0.0213,0.3354,1.3038,1.8962,0.0943
9,1.0648,0.2149,1.7136,0.0427,0.1549,1.5303,0.0115,0.1426,3.0574,0.0943
10,0.1289,0.1175,0.0447,0.4072,0.0311,0.0092,0.3478,3.1044,0.0956,0.0968
10,0.131,0.1177,0.8456,0.0522,0.0652,0.0207,0.3356,1.3039,1.8961,0.0968
10,1.0627,0.2148,1.7119,0.0427,0.1506,1.485,0.0118,0.1491,3.0509,0.0968
11,0.1289,0.1175,0.0447,0.4072,0.0282,0.0083,0.348,3.1045,0.0955,0.1068
11,0.1309,0.1177,0.8454,0.0522,0.0591,0.0187,0.3362,1.3043,1.8957,0.1068
11,1.053,0.214,1.7045,0.0428,0.1358,1.3253,0.0133,0.1767,3.0233,0.1068
12,0.1289,0.1175,0.0447,0.4071,0.0318,0.0094,0.3478,3.1044,0.0956,0.0947
12,0.131,0.1177,0.8456,0.0522,0.0666,0.0211,0.3355,1.3038,1.8962,0.0947
12,1.0644,0.2149,1.7133,0.0427,0.1541,1.5217,0.0115,0.1438,3.0562,0.0947
13,0.1289,0.1175,0.0447,0.4072,0.0305,0.009,0.3478,3.1044,0.0956,0.0987
13,0.1309,0.1177,0.8456,0.0522,0.0639,0.0203,0.3357,1.304,1.896,0.0987
13,1.0611,0.2147,1.7106,0.0427,0.1476,1.4528,0.0121,0.154,3.046,0.0987
14,0.1289,0.1175,0.0447,0.4071,0.0324,0.0096,0.3478,3.1043,0.0957,0.0928
14,0.131,0.1177,0.8457,0.0522,0.068,0.0216,0.3353,1.3037,1.8963,0.0928
14,1.0659,0.215,1.7145,0.0427,0.1574,1.5574,0.0113,0.139,3.061,0.0928
15,0.1289,0.1175,0.0447,0.4071,0.0345,0.0102,0.3477,3.1042,0.0958,0.0873
15,0.1311,0.1177,0.8458,0.0522,0.0723,0.023,0.3348,1.3034,1.8966,0.0873
15,1.0699,0.2153,1.7179,0.0426,0.1678,1.6664,0.0106,0.1259,3.0741,0.0873
16,0.1289,0.1175,0.0447,0.4072,0.0301,0.0089,0.3479,3.1044,0.0956,0.1001
16,0.1309,0.1177,0.8456,0.0522,0.063,0.02,0.3358,1.3041,1.8959,0.1001
16,1.0598,0.2146,1.7096,0.0427,0.1454,1.4292,0.0123,0.1579,3.0421,0.1001
17,0.1289,0.1175,0.0447,0.4071,0.0349,0.0103,0.3476,3.1042,0.0958,0.0864
17,0.1311,0.1177,0.8458,0.0522,0.0731,0.0233,0.3347,1.3033,1.8967,0.0864
17,1.0705,0.2154,1.7185,0.0426,0.1697,1.6865,0.0105,0.1237,3.0763,0.0864
18,0.1289,0.1175,0.0447,0.4072,0.0315,0.0093,0.3478,3.1044,0.0956,0.0955
18,0.131,0.1177,0.8456,0.0522,0.066,0.021,0.3355,1.3039,1.8961,0.0955
18,1.0638,0.2149,1.7128,0.0427,0.1527,1.5076,0.0116,0.1458,3.0542,0.0955
19,0.1289,0.1175,0.0447,0.4072,0.0303,0.009,0.3479,3.1044,0.0956,0.0993
19,0.1309,0.1177,0.8456,0.0522,0.0636,0.0201,0.3358,1.304,1.896,0.0993
19,1.0606,0.2146,1.7102,0.0427,0.1467,1.4435,0.0122,0.1555,3.0445,0.0993
20,0.1289,0.1175,0.0447,0.4072,0.0289,0.0085,0.3479,3.1045,0.0955,0.1043
20,0.1309,0.1177,0.8455,0.0522,0.0605,0.0191,0.3361,1.3042,1.8958,0.1043
20,1.0557,0.2142,1.7065,0.0428,0.1393,1.3631,0.0129,0.1694,3.0306,0.1043
21,0.1289,0.1175,0.0447,0.4071,0.0346,0.0102,0.3476,3.1042,0.0958,0.087
21,0.1311,0.1177,0.8458,0.0522,0.0725,0.0231,0.3348,1.3034,1.8966,0.087
21,1.0701,0.2153,1.7181,0.0426,0.1683,1.6723,0.0105,0.1252,3.0748,0.087
22,0.1289,0.1175,0.0447,0.4071,0.0332,0.0098,0.3477,3.1043,0.0957,0.0907
22,0.1311,0.1177,0.8457,0.0522,0.0695,0.0221,0.3351,1.3036,1.8964,0.0907
22,1.0675,0.2151,1.7158,0.0426,0.1612,1.5973,0.011,0.1339,3.0661,0.0907
23,0.1289,0.1175,0.0447,0.4071,0.0337,0.01,0.3477,3.1043,0.0957,0.0893
23,0.1311,0.1177,0.8457,0.0522,0.0707,0.0225,0.335,1.3035,1.8965,0.0893
23,1.0685,0.2152,1.7167,0.0426,0.164,1.6263,0.0108,0.1304,3.0696,0.0893
24,0.1289,0.1175,0.0447,0.4072,0.029,0.0086,0.3479,3.1045,0.0955,0.1037
24,0.1309,0.1177,0.8455,0.0522,0.0608,0.0192,0.3361,1.3042,1.8958,0.1037
25,0.1289,0.1175,0.0447,0.4071,0.0343,0.0102,0.3477,3.1042,0.0958,0.0877
25,0.1311,0.1177,0.8458,0.0522,0.072,0.0229,0.3348,1.3034,1.8966,0.0877
25,1.0696,0.2153,1.7177,0.0426,0.167,1.6583,0.0106,0.1268,3.0732,0.0877
26,0.1289,0.1175,0.0447,0.4071,0.0338,0.01,0.3477,3.1043,0.0957,0.0891
26,0.1311,0.1177,0.8458,0.0522,0.0708,0.0225,0.335,1.3035,1.8965,0.0891
26,1.0686,0.2152,1.7168,0.0426,0.1642,1.6287,0.0108,0.1301,3.0699,0.0891
27,0.1289,0.1175,0.0447,0.4071,0.0351,0.0104,0.3476,3.1042,0.0958,0.0857
27,0.1311,0.1177,0.8458,0.0522,0.0737,0.0235,0.3346,1.3033,1.8967,0.0857
