1,0.1289,0.1175,0.0414,0.4114,0.0334,0.0099,0.3477,3.1173,0.0827,1.7567
1,0.1307,0.1177,0.7801,0.0543,0.0649,0.0204,0.3371,1.3214,1.8786,1.7567
1,1.0624,0.2148,1.6125,0.043,0.1501,1.4789,0.0119,0.1534,3.0466,1.7567
2,0.1289,0.1175,0.0471,0.4039,0.0335,0.0099,0.3477,3.0946,0.1054,1.6013
2,0.1313,0.1178,0.8881,0.0511,0.0737,0.0236,0.3336,1.2939,1.9061,1.6013
2,1.0709,0.2154,1.7848,0.0424,0.1709,1.6994,0.0104,0.1204,3.0796,1.6013
3,0.1289,0.1175,0.0531,0.3953,0.0335,0.0099,0.3477,3.068,0.132,1.4808
3,0.132,0.1179,0.9827,0.0491,0.0821,0.0269,0.3302,1.2761,1.9239,1.4808
3,1.0757,0.2158,1.9411,0.042,0.1901,1.9,0.0095,0.0987,3.1013,1.4808
4,0.1289,0.1175,0.0429,0.4095,0.0334,0.0099,0.3477,3.1116,0.0884,1.7114
4,0.1309,0.1177,0.8103,0.0533,0.0672,0.0213,0.3362,1.3127,1.8873,1.7114
4,1.0652,0.215,1.6598,0.0428,0.1557,1.5393,0.0114,0.1431,3.0569,1.7114
5,0.1289,0.1175,0.0393,0.4141,0.0334,0.0099,0.3477,3.1253,0.0747,1.8301
5,0.1305,0.1177,0.7328,0.0561,0.0613,0.0191,0.3384,1.3369,1.8631,1.8301
5,1.0572,0.2144,1.5401,0.0433,0.1415,1.3869,0.0127,0.1712,3.0288,1.8301
6,0.1289,0.1175,0.0628,0.3802,0.0335,0.0099,0.3477,3.0202,0.1798,1.349
6,0.1329,0.118,1.102,0.0473,0.0935,0.0315,0.3251,1.259,1.941,1.349
6,1.0797,0.2161,2.1419,0.0417,0.215,2.157,0.0086,0.0785,3.1215,1.349
7,0.1289,0.1175,0.0415,0.4113,0.0334,0.0099,0.3477,3.1169,0.0831,1.7533
7,0.1307,0.1177,0.7823,0.0542,0.0651,0.0205,0.337,1.3207,1.8793,1.7533
7,1.0626,0.2148,1.6159,0.043,0.1505,1.4834,0.0118,0.1526,3.0474,1.7533
8,0.1289,0.1175,0.0555,0.3917,0.0335,0.0099,0.3477,3.0568,0.1432,1.4421
8,0.1322,0.1179,1.0158,0.0485,0.0851,0.0281,0.3289,1.2709,1.9291,1.4421
8,1.077,0.2159,1.9964,0.0419,0.197,1.971,0.0092,0.0924,3.1076,1.4421
9,0.1289,0.1175,0.0493,0.4008,0.0335,0.0099,0.3477,3.0851,0.1149,1.5528
9,0.1316,0.1178,0.9248,0.0503,0.0768,0.0248,0.3324,1.2864,1.9136,1.5528
9,1.073,0.2156,1.845,0.0423,0.1783,1.7766,0.01,0.1113,3.0887,1.5528
10,0.1289,0.1175,0.0437,0.4085,0.0334,0.0099,0.3477,3.1086,0.0914,1.6894
10,0.131,0.1177,0.8253,0.0528,0.0684,0.0217,0.3357,1.3087,1.8913,1.6894
11,0.1289,0.1175,0.044,0.408,0.0334,0.0099,0.3477,3.1071,0.0929,1.6789
11,0.131,0.1177,0.8325,0.0526,0.069,0.0219,0.3355,1.3068,1.8932,1.6789
11,1.067,0.2151,1.6952,0.0427,0.16,1.5845,0.0111,0.1361,3.0639,1.6789
12,0.1289,0.1175,0.047,0.404,0.0335,0.0099,0.3477,3.0948,0.1052,1.6026
12,0.1313,0.1178,0.8871,0.0511,0.0736,0.0236,0.3337,1.2941,1.9059,1.6026
12,1.0708,0.2154,1.7832,0.0424,0.1707,1.6974,0.0104,0.1207,3.0793,1.6026
13,0.1289,0.1175,0.0492,0.4009,0.0335,0.0099,0.3477,3.0853,0.1147,1.5535
13,0.1316,0.1178,0.9243,0.0503,0.0768,0.0248,0.3324,1.2865,1.9135,1.5535
14,0.1289,0.1175,0.0435,0.4088,0.0334,0.0099,0.3477,3.1094,0.0906,1.6953
14,0.1309,0.1177,0.8212,0.0529,0.0681,0.0216,0.3358,1.3098,1.8902,1.6953
14,1.0661,0.215,1.6772,0.0428,0.1578,1.5615,0.0112,0.1396,3.0604,1.6953
15,0.1289,0.1175,0.0414,0.4114,0.0334,0.0099,0.3477,3.1173,0.0827,1.7562
15,0.1307,0.1177,0.7804,0.0542,0.0649,0.0204,0.337,1.3213,1.8787,1.7562
15,1.0624,0.2148,1.613,0.043,0.1501,1.4796,0.0119,0.1533,3.0467,1.7562
16,0.1289,0.1175,0.0415,0.4113,0.0334,0.0099,0.3477,3.117,0.083,1.7544
16,0.1307,0.1177,0.7816,0.0542,0.065,0.0205,0.337,1.3209,1.8791,1.7544
16,1.0625,0.2148,1.6148,0.043,0.1503,1.4819,0.0118,0.1529,3.0471,1.7544
17,0.1289,0.1175,0.0481,0.4025,0.0335,0.0099,0.3477,3.0903,0.1097,1.5784
17,0.1314,0.1178,0.9052,0.0507,0.0751,0.0242,0.3331,1.2903,1.9097,1.5784
17,1.0719,0.2155,1.8128,0.0423,0.1743,1.7353,0.0102,0.116,3.084,1.5784
18,0.1289,0.1175,0.0398,0.4135,0.0334,0.0099,0.3477,3.1234,0.0766,1.8113
18,0.1305,0.1177,0.7448,0.0556,0.0622,0.0195,0.3381,1.3327,1.8673,1.8113
18,1.0586,0.2145,1.5582,0.0432,0.1436,1.4098,0.0125,0.1665,3.0335,1.8113
19,0.1289,0.1175,0.0517,0.3973,0.0335,0.0099,0.3477,3.0742,0.1258,1.5049
19,0.1318,0.1178,0.9629,0.0495,0.0802,0.0261,0.331,1.2794,1.9206,1.5049
19,1.0749,0.2157,1.9079,0.0421,0.1861,1.8575,0.0096,0.1028,3.0972,1.5049
20,0.1289,0.1175,0.0419,0.4108,0.0334,0.0099,0.3477,3.1153,0.0847,1.74
20,0.1308,0.1177,0.7911,0.0539,0.0657,0.0207,0.3367,1.3181,1.8819,1.74
20,1.0635,0.2148,1.6297,0.0429,0.1521,1.5009,0.0117,0.1495,3.0505,1.74
21,0.1289,0.1175,0.0476,0.4032,0.0335,0.0099,0.3477,3.0923,0.1077,1.5889
21,0.1314,0.1178,0.8973,0.0509,0.0744,0.0239,0.3333,1.2919,1.9081,1.5889
21,1.0714,0.2154,1.7999,0.0424,0.1728,1.7187,0.0103,0.118,3.082,1.5889
