1,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.6246,0.0958,0.4282
1,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.522,1.8965,0.4282
1,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1543,3.0678,0.4282
2,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.9035,0.0957,0.5346
2,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.2192,1.8965,0.5346
2,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1236,3.0678,0.5346
3,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,4.6761,0.0957,0.3319
3,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.9636,1.8965,0.3319
3,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1991,3.0678,0.3319
4,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.5128,0.0957,0.6177
4,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.0552,1.8965,0.6177
4,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.107,3.0678,0.6177
5,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,4.1481,0.0958,0.3742
5,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.7419,1.8965,0.3742
5,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1766,3.0678,0.3742
6,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.6826,0.0957,0.4215
6,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.5464,1.8965,0.4215
6,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1568,3.0678,0.4215
7,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.6273,0.0958,0.5908
7,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.1033,1.8965,0.5908
7,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1119,3.0678,0.5908
8,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.2376,0.0957,0.4794
8,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.3595,1.8965,0.4794
8,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1378,3.0678,0.4794
9,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.9361,0.0957,0.3943
9,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.6528,1.8965,0.3943
9,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1676,3.0678,0.3943
10,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.6076,0.0957,0.4302
10,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.5149,1.8965,0.4302
10,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1536,3.0678,0.4302
11,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.9494,0.0957,0.5263
11,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.2385,1.8965,0.5263
11,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1256,3.0678,0.5263
12,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,4.9982,0.0957,0.3105
12,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,2.0988,1.8965,0.3105
12,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.2128,3.0678,0.3105
13,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.3927,0.0957,0.6487
13,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.0047,1.8965,0.6487
13,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1019,3.0678,0.6487
14,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,4.0076,0.0957,0.3873
14,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.6829,1.8965,0.3873
14,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1706,3.0678,0.3873
15,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.196,0.0958,0.4857
15,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.3421,1.8965,0.4857
15,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1361,3.0678,0.4857
16,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.872,0.0958,0.5404
16,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.206,1.8965,0.5404
16,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1223,3.0678,0.5404
17,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.941,0.0957,0.5278
17,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.235,1.8965,0.5278
17,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1252,3.0678,0.5278
18,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.1194,0.0957,0.4976
18,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.3099,1.8965,0.4976
18,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1328,3.0678,0.4976
19,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.3674,0.0958,0.6556
19,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,0.9941,1.8965,0.6556
20,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,4.3892,0.0957,0.3536
20,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.8431,1.8965,0.3536
20,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1869,3.0678,0.3536
21,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.8291,0.0957,0.5486
21,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.188,1.8965,0.5486
21,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1204,3.0678,0.5486
22,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.9234,0.0957,0.5309
22,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.2276,1.8965,0.5309
22,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1245,3.0678,0.5309
23,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,4.4286,0.0957,0.3505
23,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.8597,1.8965,0.3505
23,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1885,3.0678,0.3505
24,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.1645,0.0957,0.4905
24,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.3288,1.8965,0.4905
24,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1347,3.0678,0.4905
25,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.5595,0.0957,0.4361
25,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.4947,1.8965,0.4361
25,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1515,3.0678,0.4361
26,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.7595,0.0958,0.5625
26,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.1588,1.8965,0.5625
26,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1175,3.0678,0.5625
27,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,4.8311,0.0957,0.3213
27,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,2.0287,1.8965,0.3213
27,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.2057,3.0678,0.3213
28,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.3123,0.0957,0.6713
28,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,0.971,1.8965,0.6713
28,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.0984,3.0678,0.6713
29,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.1161,0.0958,0.4981
29,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.3085,1.8965,0.4981
29,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1327,3.0678,0.4981
30,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.4616,0.0957,0.6306
30,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.0337,1.8965,0.6306
30,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1048,3.0678,0.6306
31,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.1658,0.0958,0.4903
31,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.3294,1.8965,0.4903
31,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1348,3.0678,0.4903
32,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.4091,0.0958,0.4553
32,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.4316,1.8965,0.4553
32,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1451,3.0678,0.4553
33,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.7029,0.0957,0.4192
33,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.5549,1.8965,0.4192
33,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1576,3.0678,0.4192
34,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.9391,0.0957,0.394
34,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.6541,1.8965,0.394
34,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1677,3.0678,0.394
35,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,2.9761,0.0957,0.5215
35,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.2497,1.8965,0.5215
35,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1267,3.0678,0.5215
36,0.1289,0.1175,0.0447,0.4071,0.0334,0.0099,0.3477,3.7417,0.0958,0.4148
36,0.1311,0.1177,0.8457,0.0522,0.0701,0.0223,0.3351,1.5712,1.8965,0.4148
36,1.068,0.2152,1.7163,0.0426,0.1626,1.6116,0.0109,0.1593,3.0678,0.4148
